user_id,item_id,dimension_id,correct
0,0,0,1.02
0,1,0,1.11
0,2,0,1.3900000000000001
0,3,0,1.79
0,4,0,1.01
0,5,0,1.74
0,6,0,1.77
0,7,0,1.92
0,8,0,1.9300000000000002
0,9,0,1.65
0,10,0,1.8599999999999999
0,11,0,1.38
0,12,0,1.05
0,13,0,1.63
0,14,0,1.38
0,15,1,1.8199999999999998
0,16,1,1.06
0,17,1,1.11
0,18,1,1.8199999999999998
0,19,1,1.96
0,20,1,1.05
0,21,1,1.91
0,22,1,1.08
0,23,1,1.95
0,24,1,1.83
0,25,1,1.65
0,26,1,1.74
0,27,1,1.04
0,28,2,1.13
0,29,2,1.8800000000000001
0,30,2,1.14
0,31,2,1.6
0,32,2,1.01
0,33,2,1.55
0,34,2,1.76
0,35,2,1.14
0,36,2,1.2
0,37,2,1.24
0,38,2,1.6
0,39,3,1.08
0,40,3,1.03
0,41,3,1.04
0,42,3,1.85
0,43,3,1.0
0,44,3,1.02
0,45,3,1.07
0,46,3,1.58
0,47,3,1.0
0,48,3,1.01
0,49,3,1.8800000000000001
0,50,3,1.0
0,51,3,1.25
0,52,3,1.02
0,53,4,1.44
0,54,4,1.35
0,55,4,1.14
0,56,4,1.11
0,57,4,1.13
0,58,4,2.0
0,59,4,1.33
0,60,4,1.04
0,61,4,1.01
0,62,4,1.07
0,63,4,1.4
0,64,4,1.1
0,65,5,1.01
0,66,5,1.14
0,67,5,1.04
0,68,5,1.63
0,69,5,1.01
0,70,5,1.57
0,71,5,1.01
0,72,5,1.05
0,73,5,1.55
0,74,5,1.08
0,75,5,1.97
0,76,5,1.58
0,77,6,2.0
0,78,6,1.07
0,79,6,1.0
0,80,6,1.0
0,81,6,1.71
0,82,6,1.3900000000000001
0,83,6,1.0
0,84,6,1.45
0,85,6,1.23
0,86,6,1.04
0,87,7,1.67
0,88,7,1.9
0,89,7,1.02
0,90,7,1.04
0,91,7,1.0
0,92,7,1.71
0,93,7,1.99
0,94,7,1.41
0,95,7,1.14
0,96,7,1.11
0,97,7,1.6
0,98,8,1.1
0,99,8,1.42
0,100,8,1.01
0,101,8,1.2
0,102,8,1.8900000000000001
0,103,8,1.23
0,104,8,1.9300000000000002
0,105,8,1.06
0,106,8,1.01
0,107,8,1.13
0,108,8,1.8900000000000001
0,109,8,1.05
0,110,8,1.41
0,111,8,1.02
0,112,8,1.43
0,113,8,1.7
0,114,8,1.3399999999999999
0,115,8,1.25
1,0,0,1.16
1,1,0,1.0
1,2,0,1.73
1,3,0,1.0
1,4,0,1.0
1,5,0,2.0
1,6,0,1.02
1,7,0,2.0
1,8,0,1.0
1,9,0,1.72
1,10,0,2.0
1,11,0,1.8199999999999998
1,12,0,1.18
1,13,0,1.55
1,14,0,1.0
1,15,1,1.29
1,16,1,1.0
1,17,1,1.0
1,18,1,1.58
1,19,1,2.0
1,20,1,1.0
1,21,1,1.0
1,22,1,1.01
1,23,1,1.0
1,24,1,1.0
1,25,1,2.0
1,26,1,1.12
1,27,1,1.01
1,28,2,1.0
1,29,2,1.09
1,30,2,1.0
1,31,2,1.8199999999999998
1,32,2,1.0
1,33,2,1.57
1,34,2,1.0
1,35,2,1.0
1,36,2,1.0
1,37,2,1.18
1,38,2,1.0
1,39,3,1.0
1,40,3,1.0
1,41,3,1.46
1,42,3,2.0
1,43,3,1.0
1,44,3,1.0
1,45,3,2.0
1,46,3,1.24
1,47,3,1.0
1,48,3,1.06
1,49,3,2.0
1,50,3,1.6
1,51,3,1.0
1,52,3,1.25
1,53,4,2.0
1,54,4,1.59
1,55,4,1.0
1,56,4,1.55
1,57,4,1.6
1,58,4,2.0
1,59,4,2.0
1,60,4,1.18
1,61,4,1.0
1,62,4,1.0
1,63,4,2.0
1,64,4,1.78
1,65,5,1.0
1,66,5,1.0
1,67,5,1.47
1,68,5,1.0
1,69,5,1.6
1,70,5,1.0
1,71,5,1.0
1,72,5,1.0
1,73,5,1.0
1,74,5,1.63
1,75,5,1.18
1,76,5,1.57
1,77,6,1.02
1,78,6,1.01
1,79,6,1.99
1,80,6,1.0
1,81,6,1.67
1,82,6,1.0
1,83,6,1.65
1,84,6,1.0
1,85,6,1.04
1,86,6,1.8
1,87,7,1.0
1,88,7,1.13
1,89,7,1.0
1,90,7,1.02
1,91,7,1.59
1,92,7,1.0
1,93,7,1.0
1,94,7,1.0
1,95,7,1.0
1,96,7,1.57
1,97,7,1.75
1,98,8,1.0
1,99,8,1.03
1,100,8,1.0
1,101,8,1.65
1,102,8,1.0
1,103,8,1.0
1,104,8,1.0
1,105,8,1.67
1,106,8,1.0
1,107,8,1.0
1,108,8,1.05
1,109,8,1.98
1,110,8,1.0
1,111,8,1.03
1,112,8,1.0
1,113,8,1.0
1,114,8,1.17
1,115,8,1.0
2,0,0,1.78
2,1,0,1.84
2,2,0,1.76
2,3,0,1.77
2,4,0,1.83
2,5,0,1.8199999999999998
2,6,0,1.8599999999999999
2,7,0,1.74
2,8,0,1.7
2,9,0,1.16
2,10,0,1.74
2,11,0,1.15
2,12,0,1.2
2,13,0,1.83
2,14,0,1.29
2,15,1,1.17
2,16,1,1.72
2,17,1,1.84
2,18,1,1.76
2,19,1,1.84
2,20,1,1.76
2,21,1,1.16
2,22,1,1.83
2,23,1,1.78
2,24,1,1.74
2,25,1,1.11
2,26,1,1.84
2,27,1,1.77
2,28,2,1.74
2,29,2,1.78
2,30,2,1.8199999999999998
2,31,2,1.6400000000000001
2,32,2,1.8
2,33,2,1.81
2,34,2,1.16
2,35,2,1.8800000000000001
2,36,2,1.83
2,37,2,1.79
2,38,2,1.24
2,39,3,1.76
2,40,3,1.8199999999999998
2,41,3,1.09
2,42,3,1.8
2,43,3,1.81
2,44,3,1.81
2,45,3,1.85
2,46,3,1.8199999999999998
2,47,3,1.85
2,48,3,1.75
2,49,3,1.75
2,50,3,1.8599999999999999
2,51,3,1.15
2,52,3,1.81
2,53,4,1.8
2,54,4,1.84
2,55,4,1.8
2,56,4,1.84
2,57,4,1.8
2,58,4,1.78
2,59,4,1.74
2,60,4,1.72
2,61,4,1.15
2,62,4,1.79
2,63,4,1.8800000000000001
2,64,4,1.12
2,65,5,1.81
2,66,5,1.79
2,67,5,1.8599999999999999
2,68,5,1.84
2,69,5,1.83
2,70,5,1.84
2,71,5,1.13
2,72,5,1.75
2,73,5,1.84
2,74,5,1.74
2,75,5,1.15
2,76,5,1.13
2,77,6,1.8599999999999999
2,78,6,1.8199999999999998
2,79,6,1.16
2,80,6,1.75
2,81,6,1.8
2,82,6,1.8199999999999998
2,83,6,1.75
2,84,6,1.6099999999999999
2,85,6,1.84
2,86,6,1.85
2,87,7,1.15
2,88,7,1.78
2,89,7,1.84
2,90,7,1.8199999999999998
2,91,7,1.76
2,92,7,1.7
2,93,7,1.21
2,94,7,1.24
2,95,7,1.13
2,96,7,1.67
2,97,7,1.83
2,98,8,1.77
2,99,8,1.1
2,100,8,1.26
2,101,8,1.75
2,102,8,1.18
2,103,8,1.84
2,104,8,1.1300000000000001
2,105,8,1.2
2,106,8,1.83
2,107,8,1.69
2,108,8,1.16
2,109,8,2.0
2,110,8,1.22
2,111,8,1.84
2,112,8,1.84
2,113,8,1.8599999999999999
2,114,8,1.8
2,115,8,1.8199999999999998
3,0,0,1.47
3,1,0,1.6
3,2,0,1.96
3,3,0,1.09
3,4,0,1.8800000000000001
3,5,0,1.2
3,6,0,1.9
3,7,0,1.13
3,8,0,1.04
3,9,0,1.48
3,10,0,1.91
3,11,0,1.58
3,12,0,1.32
3,13,0,1.53
3,14,0,1.4
3,15,1,1.99
3,16,1,1.8
3,17,1,2.0
3,18,1,1.01
3,19,1,1.01
3,20,1,1.33
3,21,1,1.98
3,22,1,1.8599999999999999
3,23,1,1.98
3,24,1,1.03
3,25,1,1.66
3,26,1,1.8
3,27,1,1.8599999999999999
3,28,2,1.6400000000000001
3,29,2,1.77
3,30,2,1.85
3,31,2,1.02
3,32,2,1.6400000000000001
3,33,2,1.18
3,34,2,1.77
3,35,2,1.27
3,36,2,1.62
3,37,2,1.35
3,38,2,1.46
3,39,3,1.9300000000000002
3,40,3,1.02
3,41,3,1.6400000000000001
3,42,3,1.0
3,43,3,1.3900000000000001
3,44,3,1.3599999999999999
3,45,3,1.96
3,46,3,1.3599999999999999
3,47,3,1.6099999999999999
3,48,3,1.18
3,49,3,1.8900000000000001
3,50,3,1.8800000000000001
3,51,3,1.9
3,52,3,1.98
3,53,4,1.12
3,54,4,1.55
3,55,4,1.05
3,56,4,1.84
3,57,4,1.94
3,58,4,1.01
3,59,4,1.53
3,60,4,1.62
3,61,4,1.7
3,62,4,1.01
3,63,4,1.17
3,64,4,1.3900000000000001
3,65,5,1.02
3,66,5,1.11
3,67,5,1.03
3,68,5,1.09
3,69,5,1.41
3,70,5,1.01
3,71,5,1.95
3,72,5,1.99
3,73,5,1.98
3,74,5,1.29
3,75,5,1.41
3,76,5,1.6
3,77,6,1.67
3,78,6,1.85
3,79,6,1.62
3,80,6,1.19
3,81,6,1.0
3,82,6,1.17
3,83,6,1.01
3,84,6,1.9
3,85,6,2.0
3,86,6,1.01
3,87,7,1.83
3,88,7,1.97
3,89,7,1.47
3,90,7,1.71
3,91,7,1.2
3,92,7,1.9300000000000002
3,93,7,1.67
3,94,7,1.81
3,95,7,1.48
3,96,7,1.6
3,97,7,1.94
3,98,8,1.8800000000000001
3,99,8,1.9
3,100,8,1.8599999999999999
3,101,8,1.2
3,102,8,1.96
3,103,8,1.9300000000000002
3,104,8,1.96
3,105,8,1.55
3,106,8,1.99
3,107,8,1.98
3,108,8,1.79
3,109,8,1.24
3,110,8,1.92
3,111,8,1.8800000000000001
3,112,8,1.18
3,113,8,1.8800000000000001
3,114,8,1.99
3,115,8,1.99
4,0,0,1.01
4,1,0,1.56
4,2,0,1.59
4,3,0,1.18
4,4,0,1.6099999999999999
4,5,0,1.57
4,6,0,1.62
4,7,0,1.65
4,8,0,1.25
4,9,0,1.21
4,10,0,1.56
4,11,0,1.14
4,12,0,1.02
4,13,0,1.35
4,14,0,1.44
4,15,1,1.53
4,16,1,1.45
4,17,1,1.09
4,18,1,1.55
4,19,1,1.78
4,20,1,1.26
4,21,1,1.11
4,22,1,1.04
4,23,1,1.02
4,24,1,1.23
4,25,1,1.11
4,26,1,1.04
4,27,1,1.01
4,28,2,1.14
4,29,2,1.18
4,30,2,1.16
4,31,2,1.72
4,32,2,1.2
4,33,2,1.55
4,34,2,1.74
4,35,2,1.03
4,36,2,1.02
4,37,2,1.12
4,38,2,1.14
4,39,3,1.42
4,40,3,1.06
4,41,3,1.59
4,42,3,1.73
4,43,3,1.09
4,44,3,1.05
4,45,3,1.1
4,46,3,1.13
4,47,3,1.73
4,48,3,1.12
4,49,3,1.66
4,50,3,1.05
4,51,3,1.12
4,52,3,1.11
4,53,4,1.37
4,54,4,1.23
4,55,4,1.44
4,56,4,1.21
4,57,4,1.03
4,58,4,1.55
4,59,4,1.55
